,ID,bebidas,carnes,cereales,com_rapida,dulces,frutas,lacteos,leguminosas,miscelaneos,pescado,prod_maiz,sopas,verduras,Edad,Sexo,Entidad
0,1112,19.0,30.0,51.0,8.0,42.0,16.0,0.0,12.0,34.0,0.0,0.0,6.0,90.0,73,2,1
1,1414,76.0,30.0,85.0,8.0,56.0,32.0,34.0,24.0,170.0,0.0,0.0,18.0,324.0,30,2,1
2,1512,114.0,30.0,38.0,8.0,56.0,32.0,51.0,6.0,170.0,0.0,16.0,6.0,144.0,49,2,1
3,2212,76.0,70.0,93.0,0.0,28.0,0.0,34.0,6.0,17.0,0.0,32.0,0.0,72.0,20,1,1
4,3211,76.0,30.0,76.0,0.0,14.0,16.0,0.0,0.0,85.0,0.0,32.0,0.0,198.0,61,2,1
5,3215,19.0,90.0,218.0,8.0,56.0,64.0,34.0,0.0,51.0,0.0,56.0,12.0,72.0,12,2,1
6,3411,114.0,70.0,65.0,4.0,28.0,80.0,34.0,6.0,51.0,0.0,56.0,24.0,90.0,72,1,1
7,3415,171.0,70.0,17.0,4.0,56.0,48.0,17.0,0.0,34.0,0.0,0.0,6.0,0.0,16,1,1
8,3511,76.0,40.0,116.0,8.0,84.0,96.0,51.0,0.0,102.0,0.0,56.0,6.0,198.0,65,2,1
9,4113,95.0,30.0,94.0,4.0,84.0,16.0,85.0,6.0,51.0,12.0,104.0,0.0,90.0,28,1,1
10,4114,95.0,70.0,94.0,4.0,28.0,32.0,85.0,6.0,68.0,12.0,104.0,24.0,198.0,13,1,1
11,4315,114.0,30.0,10.0,12.0,196.0,64.0,34.0,0.0,51.0,0.0,40.0,0.0,36.0,16,1,1
12,4412,323.0,70.0,54.0,4.0,28.0,48.0,51.0,12.0,102.0,8.0,80.0,18.0,198.0,32,1,1
13,4511,95.0,40.0,44.0,0.0,56.0,224.0,0.0,18.0,51.0,4.0,40.0,24.0,18.0,60,1,1
14,4515,114.0,60.0,44.0,4.0,84.0,96.0,51.0,0.0,68.0,0.0,40.0,24.0,18.0,14,1,1
15,6111,57.0,20.0,34.0,0.0,0.0,64.0,17.0,0.0,34.0,0.0,0.0,18.0,0.0,72,2,1
16,6311,171.0,30.0,138.0,4.0,28.0,16.0,34.0,0.0,51.0,0.0,8.0,6.0,90.0,84,1,1
17,6411,57.0,30.0,56.0,4.0,42.0,32.0,68.0,24.0,51.0,0.0,88.0,18.0,234.0,21,2,1
18,7213,114.0,40.0,34.0,8.0,56.0,48.0,102.0,12.0,17.0,0.0,0.0,30.0,54.0,65,2,1
19,8111,133.0,60.0,61.0,4.0,28.0,64.0,34.0,12.0,85.0,0.0,40.0,24.0,72.0,34,1,1
20,8113,38.0,30.0,12.0,4.0,0.0,32.0,17.0,0.0,68.0,0.0,48.0,12.0,144.0,15,2,1
21,8211,190.0,80.0,99.0,20.0,112.0,176.0,85.0,6.0,68.0,16.0,56.0,18.0,108.0,55,1,1
22,8312,133.0,50.0,4.0,8.0,84.0,96.0,34.0,0.0,68.0,20.0,16.0,0.0,342.0,51,2,1
23,8412,95.0,30.0,123.0,0.0,14.0,64.0,85.0,6.0,34.0,0.0,16.0,12.0,72.0,34,2,1
24,8511,114.0,60.0,67.0,4.0,28.0,32.0,17.0,12.0,68.0,0.0,64.0,6.0,90.0,46,1,1
25,8513,38.0,60.0,34.0,0.0,56.0,16.0,68.0,6.0,68.0,0.0,0.0,6.0,72.0,19,2,1
26,9312,133.0,40.0,85.0,0.0,0.0,16.0,17.0,6.0,17.0,4.0,0.0,18.0,54.0,80,2,1
27,9411,152.0,170.0,77.0,8.0,84.0,48.0,85.0,18.0,119.0,0.0,104.0,36.0,450.0,43,2,1
28,9413,19.0,200.0,50.0,12.0,252.0,32.0,51.0,6.0,102.0,0.0,64.0,36.0,180.0,14,1,1
29,10211,171.0,60.0,46.0,4.0,70.0,48.0,34.0,24.0,68.0,4.0,48.0,60.0,234.0,64,1,1
30,10312,57.0,20.0,265.0,12.0,98.0,32.0,51.0,0.0,51.0,0.0,40.0,0.0,198.0,20,1,1
31,11111,114.0,90.0,63.0,4.0,84.0,48.0,0.0,24.0,68.0,0.0,48.0,0.0,0.0,60,1,1
32,11212,57.0,20.0,4.0,0.0,14.0,96.0,17.0,6.0,17.0,16.0,16.0,0.0,288.0,39,2,1
33,11213,38.0,40.0,89.0,12.0,70.0,32.0,34.0,0.0,51.0,0.0,16.0,24.0,0.0,14,2,1
34,11311,76.0,30.0,34.0,4.0,28.0,16.0,34.0,12.0,34.0,0.0,0.0,24.0,234.0,62,2,1
35,12111,152.0,110.0,123.0,0.0,42.0,128.0,51.0,12.0,34.0,4.0,16.0,6.0,162.0,64,2,1
36,12213,38.0,30.0,57.0,12.0,140.0,80.0,17.0,12.0,68.0,8.0,24.0,36.0,216.0,45,2,1
37,12411,266.0,30.0,72.0,4.0,0.0,48.0,0.0,0.0,51.0,16.0,16.0,54.0,270.0,52,1,1
38,13311,38.0,30.0,6.0,8.0,56.0,112.0,17.0,6.0,85.0,0.0,24.0,0.0,180.0,63,1,1
39,14211,76.0,0.0,40.0,4.0,42.0,48.0,68.0,12.0,85.0,0.0,24.0,0.0,162.0,62,2,1
40,14312,95.0,50.0,53.0,4.0,42.0,80.0,85.0,12.0,68.0,8.0,8.0,18.0,162.0,96,1,1
41,15111,57.0,20.0,34.0,0.0,42.0,64.0,34.0,0.0,34.0,4.0,0.0,6.0,162.0,71,2,1
42,15211,133.0,40.0,55.0,16.0,14.0,16.0,17.0,12.0,51.0,0.0,16.0,48.0,288.0,46,1,1
43,15315,38.0,170.0,95.0,4.0,56.0,128.0,51.0,18.0,85.0,4.0,40.0,24.0,162.0,24,1,1
44,15411,57.0,60.0,161.0,8.0,70.0,16.0,34.0,18.0,187.0,16.0,32.0,60.0,252.0,68,2,1
45,16111,0.0,30.0,72.0,0.0,42.0,0.0,34.0,6.0,85.0,0.0,16.0,18.0,90.0,78,1,1
46,16211,323.0,70.0,63.0,20.0,14.0,0.0,0.0,6.0,119.0,16.0,48.0,42.0,0.0,27,2,1
47,17211,57.0,10.0,0.0,4.0,28.0,128.0,68.0,6.0,68.0,16.0,0.0,6.0,306.0,71,2,1
48,17312,19.0,30.0,51.0,0.0,14.0,64.0,17.0,12.0,119.0,0.0,0.0,12.0,162.0,65,2,1
49,17412,57.0,30.0,72.0,4.0,0.0,112.0,51.0,6.0,119.0,0.0,16.0,6.0,270.0,68,2,1
50,18111,114.0,0.0,80.0,0.0,56.0,80.0,34.0,12.0,102.0,8.0,48.0,0.0,216.0,79,2,1
51,18211,76.0,110.0,72.0,28.0,56.0,0.0,102.0,6.0,85.0,4.0,16.0,36.0,288.0,37,1,1
52,18213,38.0,90.0,121.0,20.0,84.0,32.0,34.0,6.0,102.0,4.0,8.0,36.0,432.0,12,1,1
53,18311,152.0,80.0,157.0,4.0,42.0,48.0,68.0,12.0,102.0,16.0,16.0,24.0,234.0,54,1,1
54,18411,95.0,30.0,17.0,8.0,0.0,32.0,34.0,0.0,68.0,0.0,0.0,0.0,18.0,61,1,1
55,18511,76.0,60.0,63.0,0.0,42.0,16.0,17.0,0.0,119.0,0.0,48.0,48.0,18.0,70,2,1
56,19212,247.0,0.0,33.0,24.0,28.0,48.0,119.0,0.0,85.0,16.0,64.0,0.0,18.0,39,1,1
57,19311,38.0,0.0,2.0,4.0,0.0,16.0,0.0,0.0,34.0,0.0,8.0,6.0,0.0,89,1,1
58,19411,0.0,70.0,34.0,0.0,70.0,48.0,0.0,12.0,0.0,0.0,0.0,0.0,72.0,60,1,1
59,19511,209.0,40.0,63.0,8.0,84.0,64.0,85.0,6.0,51.0,0.0,48.0,0.0,72.0,61,1,1
60,20112,0.0,30.0,70.0,4.0,28.0,112.0,51.0,12.0,0.0,8.0,8.0,18.0,306.0,29,2,1
61,20211,95.0,30.0,57.0,12.0,28.0,144.0,68.0,18.0,119.0,20.0,24.0,24.0,468.0,42,2,1
62,20212,57.0,30.0,57.0,12.0,70.0,144.0,68.0,18.0,119.0,20.0,24.0,24.0,468.0,15,2,1
63,20411,57.0,30.0,102.0,4.0,14.0,48.0,17.0,0.0,68.0,4.0,0.0,6.0,108.0,62,2,1
64,21412,247.0,30.0,141.0,8.0,42.0,80.0,34.0,12.0,51.0,32.0,88.0,0.0,252.0,28,2,1
65,21512,76.0,100.0,34.0,4.0,14.0,32.0,51.0,12.0,34.0,16.0,0.0,36.0,234.0,55,1,1
66,22312,76.0,20.0,34.0,4.0,84.0,144.0,68.0,12.0,85.0,0.0,0.0,24.0,270.0,35,2,1
67,23111,19.0,10.0,4.0,0.0,42.0,16.0,17.0,6.0,51.0,0.0,16.0,6.0,90.0,79,2,1
68,23312,133.0,30.0,55.0,12.0,126.0,80.0,51.0,0.0,136.0,4.0,16.0,12.0,162.0,43,2,1
69,23411,57.0,20.0,0.0,0.0,112.0,64.0,34.0,0.0,68.0,8.0,0.0,0.0,198.0,85,2,1
70,23511,76.0,30.0,108.0,0.0,56.0,64.0,34.0,0.0,136.0,12.0,24.0,36.0,18.0,86,2,1
71,24111,171.0,50.0,12.0,16.0,14.0,16.0,68.0,0.0,68.0,12.0,48.0,24.0,54.0,25,1,1
72,25412,19.0,30.0,72.0,4.0,28.0,48.0,34.0,6.0,68.0,4.0,16.0,6.0,198.0,70,2,1
73,26112,190.0,110.0,119.0,20.0,0.0,16.0,153.0,6.0,17.0,0.0,0.0,0.0,72.0,20,2,1
74,26311,95.0,70.0,125.0,0.0,14.0,64.0,119.0,24.0,119.0,16.0,24.0,30.0,270.0,40,1,1
75,26413,228.0,40.0,78.0,4.0,42.0,0.0,85.0,18.0,17.0,0.0,40.0,18.0,18.0,23,2,1
76,26512,19.0,10.0,95.0,4.0,42.0,32.0,17.0,0.0,102.0,0.0,40.0,12.0,90.0,51,2,1
77,26514,532.0,60.0,71.0,16.0,98.0,16.0,51.0,42.0,85.0,0.0,80.0,0.0,72.0,18,1,1
78,27211,38.0,50.0,68.0,0.0,14.0,48.0,34.0,0.0,51.0,12.0,0.0,24.0,144.0,68,2,1
79,27312,152.0,50.0,78.0,4.0,70.0,16.0,0.0,6.0,51.0,4.0,40.0,30.0,144.0,47,2,1
80,27411,152.0,10.0,72.0,4.0,14.0,32.0,17.0,12.0,102.0,8.0,16.0,36.0,216.0,34,2,1
81,27413,133.0,50.0,34.0,4.0,42.0,96.0,51.0,6.0,17.0,8.0,0.0,12.0,108.0,12,2,1
82,27511,57.0,20.0,8.0,4.0,56.0,16.0,0.0,0.0,102.0,12.0,32.0,24.0,198.0,43,2,1
83,28113,171.0,50.0,48.0,4.0,84.0,48.0,17.0,12.0,119.0,0.0,56.0,12.0,72.0,24,2,1
84,28211,228.0,110.0,110.0,4.0,84.0,48.0,0.0,0.0,102.0,16.0,32.0,0.0,144.0,21,1,1
85,28411,19.0,60.0,85.0,4.0,98.0,64.0,34.0,0.0,85.0,4.0,0.0,18.0,198.0,49,2,1
86,29214,0.0,60.0,23.0,0.0,98.0,128.0,17.0,6.0,51.0,0.0,24.0,0.0,0.0,34,2,1
87,29311,475.0,30.0,48.0,8.0,14.0,32.0,68.0,6.0,68.0,0.0,56.0,18.0,180.0,30,1,1
88,29322,285.0,80.0,42.0,4.0,56.0,32.0,34.0,24.0,17.0,0.0,32.0,12.0,90.0,54,1,1
89,29413,19.0,70.0,23.0,8.0,56.0,64.0,34.0,12.0,17.0,0.0,24.0,18.0,396.0,26,2,1
90,30114,133.0,10.0,10.0,4.0,14.0,32.0,0.0,0.0,68.0,0.0,40.0,18.0,180.0,29,2,1
91,30115,38.0,50.0,10.0,0.0,0.0,80.0,17.0,12.0,68.0,0.0,40.0,12.0,36.0,13,1,1
92,30313,285.0,30.0,106.0,12.0,112.0,16.0,68.0,0.0,68.0,16.0,16.0,42.0,72.0,41,1,1
93,30412,19.0,30.0,55.0,4.0,14.0,48.0,51.0,12.0,68.0,0.0,16.0,12.0,162.0,68,2,1
94,30511,133.0,70.0,123.0,8.0,14.0,0.0,51.0,24.0,136.0,0.0,16.0,6.0,0.0,19,1,1
95,31112,95.0,30.0,59.0,4.0,70.0,96.0,51.0,12.0,68.0,0.0,32.0,6.0,162.0,42,2,1
96,31212,76.0,40.0,29.0,4.0,70.0,48.0,68.0,6.0,85.0,0.0,48.0,36.0,72.0,27,2,1
97,31312,19.0,30.0,19.0,4.0,42.0,32.0,85.0,0.0,0.0,0.0,8.0,0.0,90.0,60,2,1
98,31411,57.0,20.0,21.0,0.0,14.0,32.0,68.0,6.0,51.0,0.0,16.0,0.0,18.0,75,2,1
99,31511,57.0,40.0,61.0,0.0,14.0,64.0,17.0,0.0,17.0,0.0,40.0,0.0,18.0,77,1,1
100,32211,57.0,70.0,59.0,8.0,70.0,48.0,17.0,6.0,85.0,0.0,32.0,18.0,126.0,47,1,1
101,32214,38.0,40.0,89.0,12.0,14.0,16.0,51.0,6.0,102.0,0.0,16.0,6.0,144.0,17,2,1
102,32312,19.0,50.0,34.0,0.0,0.0,48.0,34.0,18.0,34.0,8.0,0.0,12.0,90.0,60,1,1
103,32411,38.0,60.0,17.0,4.0,14.0,32.0,0.0,12.0,51.0,0.0,0.0,0.0,54.0,68,2,1
104,32511,19.0,40.0,38.0,0.0,0.0,48.0,17.0,0.0,85.0,0.0,16.0,0.0,126.0,52,2,1
105,33111,323.0,160.0,42.0,28.0,42.0,80.0,51.0,12.0,68.0,0.0,32.0,0.0,72.0,31,1,1
106,33411,57.0,20.0,6.0,8.0,42.0,48.0,34.0,0.0,51.0,0.0,24.0,6.0,108.0,43,2,1
107,33513,114.0,40.0,38.0,24.0,56.0,32.0,51.0,6.0,17.0,0.0,16.0,18.0,126.0,21,1,1
108,34411,38.0,40.0,68.0,0.0,14.0,48.0,0.0,18.0,85.0,0.0,0.0,12.0,54.0,62,2,1
109,34511,57.0,10.0,51.0,4.0,42.0,32.0,34.0,24.0,102.0,8.0,0.0,42.0,252.0,61,1,1
110,35112,57.0,30.0,52.0,12.0,28.0,32.0,17.0,0.0,85.0,8.0,72.0,18.0,180.0,22,2,1
111,35213,171.0,50.0,6.0,0.0,14.0,16.0,17.0,0.0,34.0,0.0,24.0,0.0,0.0,30,2,1
112,35312,19.0,40.0,17.0,0.0,42.0,64.0,0.0,12.0,34.0,4.0,0.0,12.0,90.0,53,1,1
113,35413,114.0,100.0,16.0,8.0,42.0,0.0,17.0,0.0,34.0,0.0,64.0,0.0,18.0,24,1,1
114,35512,133.0,20.0,6.0,0.0,112.0,32.0,51.0,0.0,17.0,0.0,24.0,0.0,18.0,26,2,1
115,36112,152.0,100.0,67.0,0.0,70.0,16.0,51.0,6.0,68.0,0.0,64.0,24.0,288.0,30,2,1
116,36313,190.0,70.0,37.0,4.0,252.0,64.0,51.0,18.0,51.0,0.0,80.0,6.0,306.0,21,1,1
117,36411,76.0,20.0,136.0,16.0,0.0,80.0,17.0,6.0,170.0,8.0,0.0,12.0,108.0,44,1,1
118,36413,38.0,50.0,142.0,12.0,56.0,16.0,17.0,0.0,85.0,0.0,24.0,12.0,54.0,15,1,1
119,36513,57.0,70.0,225.0,4.0,42.0,80.0,51.0,24.0,85.0,0.0,16.0,6.0,162.0,23,2,1
120,36514,95.0,30.0,93.0,24.0,0.0,48.0,34.0,0.0,68.0,0.0,32.0,12.0,0.0,19,2,1
121,37211,114.0,20.0,0.0,8.0,28.0,64.0,51.0,6.0,85.0,4.0,0.0,18.0,162.0,46,2,1
122,37213,19.0,60.0,27.0,32.0,84.0,16.0,0.0,0.0,102.0,0.0,40.0,6.0,324.0,17,2,1
123,37311,190.0,30.0,110.0,4.0,0.0,48.0,17.0,6.0,85.0,8.0,32.0,12.0,126.0,53,2,1
124,37312,114.0,30.0,53.0,8.0,0.0,48.0,17.0,0.0,85.0,8.0,8.0,12.0,162.0,18,2,1
125,37411,190.0,40.0,23.0,4.0,28.0,32.0,0.0,0.0,85.0,0.0,24.0,12.0,180.0,68,1,1
126,37511,133.0,0.0,34.0,4.0,56.0,16.0,0.0,0.0,34.0,0.0,0.0,0.0,144.0,61,1,1
127,38212,133.0,60.0,51.0,0.0,56.0,16.0,0.0,12.0,17.0,0.0,0.0,12.0,90.0,32,2,1
128,38213,133.0,60.0,85.0,0.0,70.0,16.0,34.0,12.0,17.0,0.0,0.0,12.0,108.0,15,1,1
129,38511,1235.0,40.0,12.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,48.0,6.0,18.0,44,1,1
130,39212,114.0,20.0,85.0,0.0,70.0,0.0,51.0,0.0,119.0,0.0,0.0,6.0,0.0,52,2,1
131,39411,57.0,30.0,23.0,0.0,84.0,48.0,68.0,6.0,51.0,0.0,24.0,18.0,180.0,61,2,1
132,40212,114.0,60.0,191.0,4.0,42.0,192.0,17.0,24.0,85.0,0.0,16.0,6.0,108.0,28,1,1
133,40214,38.0,70.0,74.0,8.0,112.0,64.0,102.0,12.0,85.0,0.0,24.0,30.0,72.0,17,1,1
134,40311,57.0,10.0,34.0,8.0,56.0,64.0,0.0,6.0,85.0,0.0,0.0,24.0,108.0,63,1,1
135,40412,133.0,50.0,55.0,4.0,14.0,64.0,0.0,0.0,51.0,16.0,16.0,12.0,126.0,27,2,1
136,41111,19.0,50.0,38.0,0.0,28.0,32.0,17.0,6.0,17.0,0.0,16.0,6.0,36.0,90,2,1
137,41212,76.0,60.0,51.0,20.0,28.0,16.0,34.0,0.0,34.0,4.0,0.0,12.0,36.0,25,1,1
138,41411,133.0,10.0,55.0,4.0,0.0,48.0,68.0,0.0,17.0,0.0,16.0,0.0,180.0,30,2,1
139,41512,114.0,40.0,23.0,0.0,28.0,0.0,0.0,0.0,51.0,0.0,24.0,0.0,72.0,45,1,1
140,42111,247.0,60.0,61.0,0.0,28.0,112.0,68.0,18.0,51.0,0.0,40.0,12.0,252.0,37,1,1
141,42211,57.0,20.0,21.0,8.0,42.0,16.0,34.0,0.0,34.0,4.0,16.0,18.0,126.0,87,2,1
142,42214,171.0,50.0,133.0,16.0,56.0,48.0,68.0,0.0,34.0,0.0,56.0,30.0,108.0,12,2,1
143,42412,76.0,30.0,78.0,12.0,56.0,32.0,102.0,6.0,51.0,4.0,40.0,12.0,234.0,37,1,1
144,42511,133.0,80.0,6.0,4.0,14.0,160.0,34.0,12.0,51.0,4.0,24.0,12.0,270.0,64,2,1
145,43111,152.0,20.0,40.0,8.0,14.0,16.0,0.0,6.0,17.0,4.0,24.0,18.0,90.0,76,1,1
146,43211,133.0,100.0,51.0,0.0,28.0,80.0,51.0,12.0,68.0,0.0,0.0,12.0,396.0,70,2,1
147,43412,57.0,60.0,23.0,8.0,0.0,32.0,0.0,0.0,51.0,0.0,24.0,12.0,54.0,43,2,1
148,43413,57.0,60.0,23.0,8.0,14.0,32.0,17.0,0.0,51.0,0.0,24.0,12.0,36.0,12,1,1
149,44111,152.0,90.0,82.0,4.0,70.0,80.0,34.0,12.0,51.0,20.0,56.0,18.0,234.0,35,2,1
150,44112,152.0,70.0,82.0,0.0,112.0,96.0,51.0,12.0,51.0,20.0,56.0,18.0,234.0,15,2,1
151,44411,304.0,100.0,35.0,12.0,126.0,96.0,34.0,6.0,34.0,0.0,72.0,6.0,36.0,51,1,1
152,44414,171.0,20.0,29.0,4.0,168.0,0.0,34.0,12.0,102.0,0.0,48.0,0.0,18.0,17,1,1
153,44511,133.0,20.0,61.0,0.0,0.0,0.0,17.0,12.0,34.0,0.0,40.0,12.0,72.0,61,2,1
154,45311,38.0,20.0,34.0,0.0,28.0,80.0,51.0,12.0,85.0,4.0,0.0,12.0,360.0,57,2,1
155,45513,57.0,30.0,125.0,4.0,98.0,0.0,0.0,6.0,119.0,0.0,24.0,42.0,0.0,55,1,1
156,46113,76.0,40.0,52.0,4.0,56.0,32.0,51.0,18.0,85.0,4.0,72.0,24.0,90.0,14,2,1
157,46211,266.0,70.0,52.0,20.0,84.0,16.0,0.0,12.0,51.0,0.0,72.0,12.0,234.0,37,1,1
158,46511,209.0,70.0,105.0,16.0,56.0,112.0,34.0,6.0,119.0,0.0,80.0,18.0,126.0,28,2,1
159,47113,95.0,100.0,69.0,32.0,28.0,48.0,34.0,18.0,34.0,0.0,72.0,24.0,144.0,79,1,1
160,47115,152.0,20.0,93.0,24.0,28.0,16.0,17.0,18.0,17.0,0.0,32.0,0.0,36.0,15,1,1
161,47211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,1,1
162,47213,133.0,50.0,57.0,0.0,14.0,32.0,17.0,24.0,85.0,0.0,24.0,0.0,18.0,16,1,1
163,47311,19.0,10.0,25.0,4.0,42.0,0.0,34.0,0.0,51.0,4.0,32.0,12.0,108.0,85,2,1
164,47411,38.0,60.0,17.0,4.0,0.0,0.0,0.0,12.0,85.0,16.0,0.0,12.0,198.0,65,1,1
